idx,question,gold_answer,predicted_answer,is_correct,num_steps,num_rag_steps,initial_mc,final_mc,has_citation
172,Up to how far off can the Deal Timeball be from Coordinated Universal Time?,0.9 s.,a few milliseconds,False,8,1,0.0,0.0,False
173,"Superheaven and Oceansize, are bands of which shared genre?",rock,indie rock,True,5,0,0.844,1.0,False
174,What nationality was a  historical drama film directed by?,Argentine,Chinese,False,4,1,0.0,0.0,False
175,"Who has more scope of profession, Richard Ford or Robert E. Howard?",Richard Ford,Richard Ford has more scope of profession than Robert E. Howard,True,4,0,0.625,0.812,False
176,The American Aircraft Penetrator was modified from a helicopter produced by what nation's military?,United States,United States,True,4,0,0.375,0.875,False
177,"Canton Road Station was a planned railway station on the Kowloon Southern Link of West Rail Line, that was to run beneath a large shopping mall located where?","Tsim Sha Tsui, Hong Kong","Tsim Sha Tsui, Kowloon, Hong Kong",True,5,0,0.0,0.969,False
178,What South Korean sitcom starred a South Korean singer and actress who began her music career at the age of 15?,The Producers,You Are My Destiny,False,5,1,0.0,0.0,False
179,Ghostbusters is a song written and recorded by Ray Parker Jr. as the theme song for a movie starring a Canadian-American actor who was an original member of the Not Ready for Prime Time Players on what show?,Saturday Night Live,Saturday Night Live,True,4,1,0.688,0.875,True
180,"Gelatine was an airship piloted on September 19, 1905 by a pioneer American aviator and what?",barnstormer,barnstormer,True,4,1,0.0,0.688,True
181,"Which movie was released first, The Hunchback of Notre Dame or Saludos Amigos?",Saludos Amigos,Saludos Amigos,True,5,0,0.906,0.875,False
182,In what country did the repression of citizens by a dictator during the period of 1973 to 1990 occur?,Chile,Chile,True,5,1,1.0,0.875,False
183,The mother of the vice chair of Hillary Clinton's 2016 campaign for President is the director of what institue?,Institute of Muslim Minority Affairs,Thought: I have identified the mother of the vice chair of Hillary Clinton's 2016 campaign and the institute she directs. The answer can now be finalized,False,5,1,0.0,0.0,True
184,"Michael Ralph DeVito (born June 10, 1984) is a former American football defensive end, he  the National Football League (NFL), DeVito attended high school at Nauset Regional High School an NEASC accredited high school located in North Eastham, in which state?",Massachusetts,Massachusetts,True,4,0,1.0,1.0,False
185,"""Apocalypic"" is a song sung by Lizzy Hale from which group? ",Halestorm,Halestorm,True,6,3,0.0,0.969,False
186,Ted Sutton plays Sergeant Cunningham in a2002 film that stars Mel Gibson as what character?,Graham Hess,Father Graham Hess,True,4,2,0.0,0.812,True
187,"Who is the former professional tennis player from Italy, Chris Evert or Mara Santangelo?",Mara Santangelo,Mara Santangelo,True,5,0,0.906,1.0,False
188,Who directed a film that included Sarah Manninen?,Martha Coolidge,Greg White,False,3,1,0.0,0.0,True
189,"The republic with the smallest population of all the members of the Council of Europe is one of few places in Europe where a species of beetle cannot be found, that wew originally described in 1809 by whom?",Panzer,Jean-Baptiste Boisduval,False,6,1,0.0,0.0,True
190,"At the 2011 census, what was he population of the city where Kerry Saxby-Junna was born?","6,960","2,637",False,4,1,0.0,0.0,True
191,"How many German scientists, engineers, and technicians, were recruited in post-Nazi Germany as a result of the clandestine operation where Arthur Rudolph became one of the main developers of the U.S. ?space program","more than 1,600","1,600",False,4,1,0.0,0.0,True
192, Marion is approximately 50 mi north of a city that is the third-most populous what in the U.S.?,state capital,"Columbus, Ohio",False,6,1,0.0,0.0,True
193,Jayantabhai Ki Luv Story includes a lead role for the film actress and model who is a native of what city?,Bihar,Jaipur,False,4,1,0.0,0.0,True
194,"Which is currently more valuable, Temagami-Lorrain Mine or Meadowbank Gold Mine?",Meadowbank Gold Mine,Meadowbank Gold Mine,True,4,0,0.906,1.0,False
195,St James Street appears as a segment of Whitecross Street on the 1610 map of the Monmouth by an English historian best known as a mapmaker of what perior?,Stuart period,Elizabethan era,False,5,1,0.0,0.0,False
196,The Pineground Bridge formerly carried Depot Road over the Suncook River into a town with a population of what?,"2,523","2,523",True,4,2,0.0,0.938,True
197,"Which city is the American rock band, that released their album on March 19, 2012, from?","Albuquerque, New Mexico","Las Vegas, Nevada",False,5,1,0.0,0.0,False
198,The Rossendale Free Press serves the town how far north of Manchester?,19 mi,The Rossendale Free Press serves a town approximately 6 miles north of Manchester,False,4,1,0.0,0.0,True
199,Which american president's father was a farmer and he was a former US representative from NY?,Millard Fillmore,Martin Van Buren,False,6,1,0.188,0.0,True
200,The End of the Innocence was a single by which former member of the Eagles?,Donald Hugh Henley,Timothy B. Schmit,False,4,1,0.0,0.0,False
201,What suburban county on Long Island and the easternmost county in the U.S. state of New York is the location of a village called Lindenhurst?,Suffolk County,Suffolk County,True,5,1,1.0,0.875,True
202,Which Lightweight division mixed martial artist founded the American Combat Association?,Kamal Shalorus,Kamal Shalorus,True,4,1,0.0,0.969,True
203,Which video game producers worked with an English film director to produce a film about sports?,Rockstar Games,There is no evidence of English film directors and video game producers working together on sports films,False,7,1,0.0,0.0,True
204,Who won a Nobel Prize in 1943 and is associated with Max Volmer?,Otto Stern,No relevant information found regarding Max Volmer winning a Nobel Prize in 1943 or being associated with a Nobel Prize winner from that year,False,7,1,0.0,0.0,True
205,Who was born first Neil LaBute or H. Bruce Humberstone?,"H. Bruce ""Lucky"" Humberstone","H. Bruce Humberstone was born first, as he was born in 1955, while Neil LaBute was born in 1963",False,4,1,0.0,0.0,True
206,Were Eatza Pizza and Your Pie founded in the same state?,no,No,True,5,0,0.75,0.875,False
207,Who is younger Mary Ramsey or Lee Ranaldo ?,Mary Ramsey,Mary Ramsey,True,5,0,1.0,1.0,False
208,What type of species is a Boreo-arctic Montane species found in the most northerly of the abstract five major circles of latitude as shown on maps of the Earth?,beetle,"Boreo-arctic Montane species are found in tundra habitats,",False,5,1,0.0,0.0,True
209,What year was the thesis supervisor of Jocelyn Bell Burnell awarded the Eddington Medal?,1969,1974,False,5,3,0.0,0.0,False
210,"What musical genre was the song that, according to Annet Artani, inspired the Britney Spears song ""Everytime""?",R&B,pop ballad,False,2,1,0.312,0.125,True
211,British band The Wanted's third album includes a song with a title about which Barbadian superstar?,Rihanna,Rihanna,True,6,0,0.938,0.75,False
212,"Jonas Hummels is the younger brother of a German professional footballer who plays for the German national team, and who else?",Bayern Munich,Jonas Hummels' older brother,False,4,1,0.125,0.0,True
213,How many test centuries did the grandfather of Fabian Cowdrey make for England ?,22,22,True,3,1,0.0,1.0,True
214,Anti-Semetism in the 21st Century: The Resurgence was hosted by a journalist and writer who is an anchor of what show?,PBS NewsHour,PBS NewsHour,True,5,1,0.031,0.844,True
215,Which of the following is best known for publicly championing a terminal patient's right to die via physician-assisted suicide: Christy Canyon or Jack Kevorkian?,"Jacob ""Jack"" Kevorkian",Jack Kevorkian,False,4,1,0.0,0.0,True
216,The plaintiff in the civil suit Paul v. Clinton was born in which year ?,1948,1948,True,5,2,0.0,0.969,True
217,How long was the rule of the dynasty that was active when the Rosetta Stone was inscribed?,275 years,275 years,True,4,1,0.719,0.562,True
218,Sojourners and KO Magazine share what publication format?,magazine,"Sojourners and KO Magazine do not share the same publication format. Sojourners is a monthly magazine and an online publication, while KO Magazine is a bimonthly magazine",True,6,1,1.0,0.75,True
219,"At which stadium does the team, for which Baltimore's Marching Ravens is the official marching band, play its home games?",M&T Bank Stadium,M&T Bank Stadium,True,4,1,1.0,0.875,True
220,"The John Messer Barn is a historic structure within the Great Smoky Mountains National Park in Sevier County, Tennessee, this barn is a different Messer Barn in which valley, in the Great Smoky Mountains of North Carolina, located in the Southeastern United States?",Cataloochee,Greenbrier valley,False,5,3,0.25,0.0,True
221,"The NBC-affiliated television station, owned by an American telecommunications company whose founder is Julian Sinclair Smith, called WJAR is more commonly known as what?",NBC 10,NBC 10,True,5,0,0.5,1.0,False
222,What nationality is the actress who played the role of Sam Sloan's wife Trudy in the sitcom The Single Guy ?,American,English,False,5,1,0.938,0.0,True
223,"What shopping mall is the largest in south Texas, Malle del Norte or La Plaza Mall?",La Plaza Mall,La Plaza Mall,True,5,1,0.75,0.938,False
224,"Who is the mother of the prince that had allegations made against him related to the lawsuit ""Two Jane Does v US""?",Queen Elizabeth II,Queen Elizabeth II,True,5,0,0.812,1.0,False
225,In between Memphis International Airport and Southwest Georgia Regional Airport which one is in Tennessee?,Memphis International Airport,Memphis International Airport,True,5,0,1.0,0.875,False
226,"Which airport is closer to Cleaveland, Ohio, Luis Muñoz Marín International Airport or Rickenbacker International Airport?",Rickenbacker International Airport,Rickenbacker International Airport,True,8,0,1.0,1.0,False
227,What profession do Kōbō Abe and Agatha Christie share?,playwright,playwright,True,5,2,0.25,0.938,True
228,What all female high school is located in a town in Sunyani West District  in the Brong-Ahafo Region of Ghana?,Notre Dame High School,based on the information gathered,False,5,1,0.0,0.0,False
229,"Jinchang and Liling, are located in which country?",China,China,True,5,2,0.969,1.0,True
230,What type of vegetation does Fothergilla and Clerodendrum have in common?,plants,. Final Answer: Fothergilla is native to woodland and swamps,False,6,3,0.25,0.062,True
231,What are the plants in the same genus as the Dendranthema boreale sometimes called?,mums or chrysanths,mums or chrysanths,True,4,1,0.125,1.0,True
232,Who is the composer Howard Ashman worked with on his musical released in 1982? ,Alan Menken,Alan Menken,True,6,0,0.938,1.0,False
233,What actor portrayed a character in a television series about a fictional race of superhumans appearing in American comic books published by Marvel Comics?,"Kenneth ""Ken"" Leung","Alan Cumming, James Marsden, Halle Berry, and Patrick Stewart",False,4,1,0.0,0.0,False
234,What comic book published the female superhero created by J. H. Williams III?,DC Comics,Legends of Tomorrow #1 (DC Comics,True,9,2,0.094,1.0,True
235,What country of origin does Nick Kroll and Get Him to the Greek have in common?,American,American,True,4,1,0.0,0.875,True
236,"The character portrayed in ""Giuliani Time"" is a real-life informal adviser to the White House in which area?",cybersecurity,No relevant information found about Wayne Barrett serving as an informal adviser to the White House,False,4,1,0.0,0.0,True
237,Thomas Harris is a novelist who is famous for creating which character?,Hannibal Lecter,Hannibal Lecter,True,4,0,1.0,1.0,False
238,"Who founded the college attended by Thomas Balston, member of the Whatman paper-making family?",William of Wykeham,John Hooper,False,6,1,0.0,0.0,True
239,Joh Bruce Yeh founded a chamber ensemble who won a Grammy in 1985 for their recording of this work based on what Rusian folk tale?,The Runaway Soldier and the Devil,". Action: Finish[answer=""The Russian folk tale is 'The Soldier and",False,4,1,0.0,0.0,True
240,"Which director is American, Mark L. Lester or Ken Loach?",Mark L. Lester,Mark L. Lester,True,4,0,0.875,1.0,False
241,Kerrygold Irish Cream Liqueur is owned by a company that mainly sells what type or product?,dairy products,dairy products,True,5,0,0.375,1.0,False
242,The USS LST-510 is a ferry between New London and Orient but what is the population of Orient?,743,367,False,4,1,0.0,0.0,True
243,"Which band has more members, Muse or The Raconteurs?",The Raconteurs,Step 3:,False,5,0,0.875,1.0,False
244,Titus is the soundtrack to the film that starred which actors?,Anthony Hopkins and Jessica Lange,to the original question,False,5,2,0.0,0.688,True
245,"The producer of The Wreckage of Stars also produced albums for Texas in July, Everclear, and what other American metalcore band from Lancaster, Pennsylvania?",August Burns Red,August Burns Red,True,8,6,0.031,0.719,True
246,"What magazine an American monthly food and lifestyle magazine founded in 1987, Cooking Light or Hot Rod?",Cooking Light,Cooking Light,True,7,1,1.0,1.0,True
247,"Which tennis player has received a higher World singles ranking, Xavier Malisse or Virginia Wade?",Virginia Wade,Virginia Wade,True,4,0,1.0,1.0,False
248,"Atoms for Peace are an English-American experimental rock supergroup comprising Radiohead singer Thom Yorke, is an English musician and composer, best known as the singer and principal songwriter of which band?",Radiohead,Radiohead,True,5,0,1.0,1.0,False
249,What was the year founded of the football team that Aaron Galindo is currently a part of?,1928,1909,False,6,2,0.0,0.0,True
250,What is the nationality of the singer-songwriter who wrote the poetry collection Early Work ?,American,American,True,4,1,0.625,0.938,True
251,Where does Lance Stephenson of the Indiana Pacers basketball team play his home games?,Bankers Life Fieldhouse,Bankers Life Fieldhouse,True,5,0,0.312,1.0,False
252,Where did the father of Maria Brontë spend most of his adult life?,England,"Haworth, West Yorkshire, England",True,7,2,0.938,1.0,True
253,What is the name of the architect who designed the Lincoln Memorial dedicated in 1922?,Henry Bacon,Henry Bacon,True,4,0,1.0,1.0,False
254,Toronto's Insight Sports is partially owned by what Canadian businessman?,Lawrence M. Tanenbaum,Larry Tanenbaum,False,4,1,0.0,0.0,True
255,Who was born first George Marshall or Allan Dwan ?,Allan Dwan,"Allan Dwan was born first, as he was born on October 10, 1885, while George Marshall (conservationist) was born on February 11, 1904",True,6,2,0.406,0.938,True
256,"The 2005 documentary ""The Aristocrats"" was dedicated to a comedian that received how many Emmy Awards?",six,six,True,4,2,0.0,0.688,True
257,The Nike Mercurial Vapor is a football shoe worn by which Colombian striker?,Carlos Arturo Bacca Ahumada,Duván Zapata,False,5,1,0.0,0.0,True
258,Lendley C. Black is Chancellor of a university offering how many majors?,85,100,False,4,1,0.0,0.0,False
259,West Ridge and the ridge that has IndependenceAvenue/Liberation Avenue as its eastern boundary are separated by what road? ,Castle Road,Castle Road,True,5,1,0.0,0.969,True
260,What is the historical name of the acid that dissolves phenazine?,oil of vitriol,muriatic acid,False,5,1,0.312,0.0,False
261,"Who completed more books in their lifetime, Anne Frank or John Kennedy Toole?",John Kennedy Toole,"Thought: With the information that Anne Frank wrote 1 book and John Kennedy Toole wrote 2 books, I can now compare the number of books they completed in their lifetimes",True,5,0,0.812,0.875,False
262,"Die Meistersinger von Nürnberg and Iphigénie en Aulide, are which type of music drama?",opera,opera seria,True,4,0,0.375,0.938,False
263,"What side of town is the Chicago Mayer-endorsed, 38th Ward of the City of Chicago alderman serving?",Northwest Side,northwest,False,7,1,0.0,0.844,False
264,What American professional basketball player born in 1986 was awarded the Dave Gavitt Trophy during the 2007 Big East Men's Basketball Championship? ,Jeffrey Lynn Green,Jeff Green,False,2,1,0.0,0.0,True
265,Where is the company that built Woodvale Historic District located?,"Rockhill Furnace, Pennsylvania","Morgantown, West Virginia",False,4,1,0.0,0.0,True
266,"The Time: Night, is a novella by which Russian writer, novelist and playwright?",Lyudmila Stefanovna Petrushevskaya,Lyudmila Petrushevskaya,False,3,1,0.0,0.0,True
267,From what country are both Maurice Newman and Macquarie University? ,Australia,Australia,True,5,0,1.0,1.0,False
268,Were Up and The Watercolor released in the same year?,yes,"Thought: Now that I have the release years for both ""Up"" and ""The Watercolor,"" I can compare them to determine if they were released in the same year",False,4,2,0.0,0.875,True
269,Which mentor in the 3rd Sa Re Ga Ma Pa Challenge died in Kokilaben hospital?,Aadesh Shrivastava,No mentor from the 3rd season of Sa Re Ga Ma Pa Challenge died in Kokilaben hospital based on the available information,False,10,8,0.0,0.0,True
270,"What city is located in Gauteng, South Africa with a suburb called Kew?",Johannesburg,"The city in Gauteng, South Africa with a suburb called Kew is Johannesburg",True,4,0,0.844,0.75,False
271,"What electronic band's  song ""Dangerous"" was certified gold by the RIAA in May 2015?",Big Data,Skrillex,False,4,1,0.0,0.0,False
272,Are David Gordon Green and Larry Hagman both actors?,no,"No, David Gordon Green is not an actor, but a film director, while Larry Hagman is an actor",True,4,1,0.938,1.0,True
273,For which North American auto racing series launched by the Sports Car Club of America does Jack Baldwin drive a Porsche Cayman S?,Pirelli World Challenge,Pirelli World Challenge Series,True,3,1,0.375,0.938,True
274,Are Calochone and Adlumia both plants?,yes,Yes,True,5,1,0.75,0.875,True
275,What year was the English actor and film producer born in who also starred in an adaptation with Renee Zellweger?,1960,1960,True,4,0,0.625,1.0,False
276,"Who's the Hungarian-born US film director renowned for adapting Stephen King novellas to the screen, including The Mist and The Green Mile?",Frank Darabont,Frank Darabont,True,5,0,0.938,1.0,False
277," Which species, Cardwellia or Ochagavia, is native to South America?",Ochagavia,"Ochagavia is native to South America, specifically in southern and central Chile",True,7,1,1.0,1.0,True
278,Are Grasshopper and Sake bomb both types of drinks?,yes,Yes,True,5,0,0.625,0.812,False
279,"Donington School F.C. was an English football club, based in which large village and civil parish in the South Holland district of Lincolnshire, England?","Donington, Lincolnshire","Thought: I need to confirm the specific village and civil parish where Donington School F.C. is based in Lincolnshire, as it was previously identified as being in Donington, but I need to verify the exact name and location details",True,10,8,0.938,0.0,True
280,Who achieved fame starring alongside John Richard Schneider in a television series?,Tom Wopat,Jaime King,False,6,1,0.0,0.0,False
281,"Who was born first, Joe Manganiello or Kirk Kerkorian?","Kerkor ""Kirk"" Kerkorian","Kirk Kerkorian was born first, as he was born in 1917, while Joe Manganiello was born in 1976",False,4,1,0.0,0.0,True
282,Lee Il-hyung's first feature film was released by which company ?,Showbox,CJ Entertainment,False,4,1,0.0,0.0,True
283,"Rick Seibold has worked with what artist known for her role in ""Big Time Rush""?",Katelyn Tarver,"The artist Rick Seibold has worked with,",False,4,3,0.0,0.0,True
284,"Where is the band that wrote ""The Drug in Me Is You"" based in?","Las Vegas, Nevada","Las Vegas, Nevada",True,4,2,0.0,1.0,True
285,Who wrote and directed the film in which Adam Beach played Slipknot?,David Ayer,David Ayer,True,4,2,0.031,0.938,True
286,"Alamgir joined Meesha Shafi, Strings, Ali Azmat and Shahzad Hasan as a judge on which popular show?","""Music Icons""",Music Icons,True,3,1,0.0,0.938,True
287,What network is the reality TV Show that features American former professional baseball left fielder who played 22 seasons in Major League Baseball (MLB) with the Pittsburgh Pirates and San Francisco Giants?,ESPN,ESPN,True,5,2,0.531,1.0,True
288,What is the name of the Los Angeles resident who directed a 2016 American superhero film about a surgeon who learns the mystic arts after a career-ending car accident?,Scott Derrickson,Scott Derrickson,True,5,1,0.812,0.938,True
289,Emprise Bank has branches in a city situated along what river?,Neosho River,The Arkansas River,False,4,1,0.0,0.0,True
290,Who represents the district that Gawthorpe is in?,Julie Cooper,Julie Cooper,True,4,2,0.031,1.0,True
291,"George Palmer Putnam, was an American publisher, author and explorer, known for his marriage to who, which American aviation pioneer and author, and was the first female aviator to fly solo across the Atlantic Ocean?",Amelia Earhart,1931,False,6,3,0.969,0.875,True
292,Emma Rose Kenney's roll in a Blue Sky Studios produced film earned how much money?,$268 million,No earnings information available,False,4,1,0.0,0.0,False
293,The President of Egypt that changed the Hamayouni Decree was born in what year?,1928,1928,True,4,1,0.0,1.0,True
294,Is Lysichiton and Ageratum geus in the same family?,no,"No, Lysichiton and Ageratum are not in the same family. Lysichiton belongs to the family Araceae, while Ageratum belongs to the family Asteraceae",True,5,0,0.938,1.0,False
295,A 2001 Indian epic sports-drama film starred an actor who was also know for his role in what 1999 movie?,Sarfarosh,Thalapathi,False,4,1,0.0,0.0,True
296,"Huddersfield Giants R.L.F.C. are an English professional rugby league club from Huddersfield, West Yorkshire, the birthplace of rugby league, who play in the Super League competition, they play their home games at the Kirklees Stadium which is shared with Huddersfield Town F.C., is a multi-use sports stadium in Huddersfield in West Yorkshire, in which country?",England,United Kingdom,False,4,1,0.531,0.688,True
297,"Javier Mora, is a Mexican boxer in the Heavyweight division, he was defeated by Alexander Vladimirovich ""Sasha"" Povetkin, by a 5-round TKO, in which country?",Germany,"Max Schmeling Halle, Prenzlauer Berg, Berlin, Germany",True,3,1,0.062,0.969,True
298,"Dixit Dominus is a psalm setting by who, which was a German, later British, baroque composer who spent the bulk of his career in London, becoming well known for his operas, oratorios, anthems, and organ concertos?",George Frideric Handel,George Frideric Handel,True,4,1,1.0,1.0,True
299,Who is the Russian figure skater who danced with a Russian pair skater and in 1988 and 1994.,Ekaterina Gordeeva,Ekaterina Gordeeva,True,5,1,0.0,0.719,True
